CityId,Hotspots,Country,State,City,LongCountry,LongState,LongCity
IzU2ZW5nbGFuZHVuaXRlZCBraW5nZG9t,1,GB,England,#56,United Kingdom,England,#56
YWFieWJyb2Rlbm1hcms,1,DK,null,Aabybro,Denmark,null,Aabybro
YWFjaGVubm9yZHJoZWluLXdlc3RmYWxlbmdlcm1hbnk,13,DE,NRW,AC,Germany,Nordrhein-Westfalen,Aachen
YWFsYm9yZ2Rlbm1hcms,20,DK,null,Aalborg,Denmark,null,Aalborg
YWFsZW5iYWRlbi13w7xydHRlbWJlcmdnZXJtYW55,1,DE,BW,Aalen,Germany,Baden-Württemberg,Aalen
YSdhbGlhbC1tdeG4pcSBZmHhupNhdCBhxaEtxaFhbcSBbMSreWFoYmFocmFpbg,1,BH,Al-Muḥāfaẓat aš-Šamālīyah,A'ali,Bahrain,Al-Muḥāfaẓat aš-Šamālīyah,A'ali
YWFsc21lZXJub29yZC1ob2xsYW5kbmV0aGVybGFuZHM,2,NL,NH,Aalsmeer,Netherlands,Noord-Holland,Aalsmeer
YWFsc3R2bGFhbmRlcmVuYmVsZ2l1bQ,10,BE,Vlaanderen,Aalst,Belgium,Vlaanderen,Aalst
YWFyYXVhYXJnYXVzd2l0emVybGFuZA,5,CH,AG,Aarau,Switzerland,Aargau,Aarau
YWFyYmVyZ2Jlcm5zd2l0emVybGFuZA,1,CH,BE,Aarberg,Switzerland,Bern,Aarberg
YWFydHNlbGFhcnZsYWFuZGVyZW5iZWxnaXVt,8,BE,Vlaanderen,Aartselaar,Belgium,Vlaanderen,Aartselaar
YWJhbm8gdGVybWV2ZW5ldG9pdGFseQ,1,IT,Veneto,Abano Terme,Italy,Veneto,Abano Terme
YWJiYWRpYSBsYXJpYW5hbG9tYmFyZGlhaXRhbHk,1,IT,Lombardia,Abbadia Lariana,Italy,Lombardia,Abbadia Lariana
YWJiaWF0ZWdyYXNzb2xvbWJhcmRpYWl0YWx5,1,IT,Lombardia,Abbiategrasso,Italy,Lombardia,Abbiategrasso
YWJib3RzZm9yZGJyaXRpc2ggY29sdW1iaWFjYW5hZGE,8,CA,BC,Abbotsford,Canada,British Columbia,Abbotsford
YWJib3RzZm9yZHdpc2NvbnNpbnVuaXRlZCBzdGF0ZXM,2,US,WI,Abbotsford,United States,Wisconsin,Abbotsford
YWJjb3VkZXV0cmVjaHRuZXRoZXJsYW5kcw,1,NL,UT,Abcoude,Netherlands,Utrecht,Abcoude
YWJlcmRlZW5tYXJ5bGFuZHVuaXRlZCBzdGF0ZXM,2,US,MD,Aberdeen,United States,Maryland,Aberdeen
YWJlcmRlZW5ub3J0aCBjYXJvbGluYXVuaXRlZCBzdGF0ZXM,2,US,NC,Aberdeen,United States,North Carolina,Aberdeen
YWJlcmRlZW5zY290bGFuZHVuaXRlZCBraW5nZG9t,11,GB,Scotland,Aberdeen,United Kingdom,Scotland,Aberdeen
YWJlcmRlZW53YXNoaW5ndG9udW5pdGVkIHN0YXRlcw,1,US,WA,Aberdeen,United States,Washington,Aberdeen
YWJlcmRlZW4gcHJvdmluZyBncm91bmRtYXJ5bGFuZHVuaXRlZCBzdGF0ZXM,1,US,MD,Aberdeen Proving Ground,United States,Maryland,Aberdeen Proving Ground
YWJlcmRlZW4gdG93bnNoaXBuZXcgamVyc2V5dW5pdGVkIHN0YXRlcw,1,US,NJ,Aberdeen Township,United States,New Jersey,Aberdeen Township
YWJlcmdhdmVubnl3YWxlc3VuaXRlZCBraW5nZG9t,2,GB,Wales,Abergavenny,United Kingdom,Wales,Abergavenny
YWJlcnRpbGxlcnl3YWxlc3VuaXRlZCBraW5nZG9t,1,GB,Wales,Abertillery,United Kingdom,Wales,Abertillery
YWJpbGVuZXRleGFzdW5pdGVkIHN0YXRlcw,6,US,TX,Abilene,United States,Texas,Abilene
YWJpbmd0b25wZW5uc3lsdmFuaWF1bml0ZWQgc3RhdGVz,2,US,PA,Abington,United States,Pennsylvania,Abington
YWJpdGEgc3ByaW5nc2xvdWlzaWFuYXVuaXRlZCBzdGF0ZXM,1,US,LA,Abita Springs,United States,Louisiana,Abita Springs
YWJyYcOjb3NhbnRhIGNhdGFyaW5hYnJhemls,1,BR,SC,Abraão,Brazil,Santa Catarina,Abraão
YWJyYW50ZXNzYW50YXLDqW1wb3J0dWdhbA,3,PT,Santarém,Abrantes,Portugal,Santarém,Abrantes
YWJ0d2lsIHNnc2Fua3QgZ2FsbGVuc3dpdHplcmxhbmQ,1,CH,SG,Abtwil SG,Switzerland,Sankt Gallen,Abtwil SG
YWJ1IGRoYWJpYWJ1IGRoYWJpdW5pdGVkIGFyYWIgZW1pcmF0ZXM,6,AE,Abu Dhabi,Abu Dhabi,United Arab Emirates,Abu Dhabi,Abu Dhabi
YWNjb2tlZWttYXJ5bGFuZHVuaXRlZCBzdGF0ZXM,3,US,MD,Accokeek,United States,Maryland,Accokeek
YWNjb3JkbmV3IHlvcmt1bml0ZWQgc3RhdGVz,1,US,NY,Accord,United States,New York,Accord
YWNoYXJuZXNncmVlY2U,4,GR,null,Acharnes,Greece,null,Acharnes
YWNodG1hYWxub29yZC1icmFiYW50bmV0aGVybGFuZHM,2,NL,NB,Achtmaal,Netherlands,Noord-Brabant,Achtmaal
