Block Height,Price
900000,12.21093968
899970,12.20461
899950,12.19461
899890,12.2066
899880,12.21228337
899840,12.2066
899830,12.20365
899820,12.15995
899810,12.165
899800,12.1565
899790,12.1464
899780,12.1805
899770,12.16837462
899760,12.1555
899750,12.14
899720,12.1805
899710,12.19094344
899700,12.195
899690,12.275
899680,12.16950007
899670,12.14555664
899660,12.16243594
899640,12.20095185
899630,12.24015173
899600,12.126015
899590,12.1025
899570,12.04304159
899560,12.02269159
899550,12.04204155
899540,12.02127315
899510,11.94495
899480,11.89
899470,11.69309856
899460,11.74877
899440,11.59
899430,11.51644696
899420,11.4888
899410,11.43
899380,11.49
899360,11.4934
899240,11.5
899200,11.62721
899140,11.74784
899110,11.77844336
899070,11.4934
899010,11.31
898970,11.32436
898950,11.31764
898910,11.31264
898900,11.35
898840,11.39
898800,11.38
898750,11.378275
898740,11.38
898730,11.42
898700,11.47
898680,11.48046
898670,11.48716
898660,11.45961
898650,11.46641
898630,11.39091
898620,11.40021
898600,11.34511
898570,11.34041
898500,10.75025
898490,10.75
898480,10.72615
898450,10.73525
898400,10.70593
898380,10.752815
898330,10.725
898320,10.796915
898300,10.7988
898250,10.9
898240,10.9164
898220,10.9
898160,10.88
898020,11.08
897950,11.149105
897890,11.2492
897860,11.211195
897810,11.220385
897790,11.22
897750,10.993185
897730,11.082135
897690,11.132135
897670,11.1746
897600,11.2696
897540,11.2646
897510,11.306205
897490,11.259665
897480,11.1846
897380,11.12
897360,11.105
897330,11.09
897290,11.13
897240,11.160135
897130,11.205135
897110,11.01
897070,10.99825
897040,10.73
896980,10.72953
896940,10.66
896920,10.67
896890,10.68
896880,10.49815
896870,10.80783
896840,10.88
896830,10.8943
896800,11.05
896780,10.97331
896740,10.97422
896730,10.61864
896710,11
896680,11.51
896670,11.3325
896620,11.57
896600,11.3258
896570,11.17
896560,11.21414
896550,11.1229
896530,11.078
896480,11.23
896470,11.57604
896450,11.5877
896420,11.59
896400,11.696585
896390,11.7035
896350,11.725
896340,11.659585
896300,11.59195
896280,11.79548
896270,11.82103
896260,12.03515
896240,11.93205
896230,11.9463
896220,12.037145
896200,11.905
896180,11.90302
896150,11.82
896130,11.72695
896120,11.68695
896110,11.6616
896100,11.6565
896090,11.6299
896080,11.71705
896070,11.75905
896060,11.8934
